,Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
66,10643777.pdf,"['protein', 'ash', 'energy']",3,"['butter', 'oil', 'mint', 'beans', 'peach', 'soya', 'bean', 'gram', 'corn', 'mint', 'milk', 'peach', 'milk', 'peanut', 'cumin', 'peanut', 'walnut', 'walnut']",18,Yes
67,10655952.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'barley', 'rice', 'wheat', 'maize', 'sorghum', 'millet', 'peanut', 'peanut']",9,Yes
68,10656473.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['lemon', 'butter', 'chicken', 'oil', 'beans', 'orange', 'peas', 'lettuce', 'egg', 'rice', 'bean', 'gram', 'lamb', 'corn', 'pears', 'potatoes', 'meat', 'tomato', 'cabbage', 'moth', 'milk', 'apples', 'potato', 'banana', 'milk', 'cheese', 'carrot', 'sugar', 'beef', 'rabbit']",30,Yes
69,10688535.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'gram', 'pears', 'rabbit']",4,Yes
70,10697392.pdf,"['ash', 'fat', 'energy']",3,"['beans', 'egg', 'bean', 'meat', 'milk', 'milk', 'sugar']",7,Yes
71,10698721.pdf,"['protein', 'ash']",2,"['oil', 'ragi', 'egg', 'gram', 'pears']",5,Yes
72,10706541.pdf,"['moisture', 'ash', 'fat']",3,"['oil', 'orange', 'gram', 'fish', 'sugar', 'sugarcane', 'sugarcane']",7,Yes
73,10706690.pdf,"['protein', 'ash']",2,"['mace', 'dates', 'gram', 'goat', 'sheep', 'rabbit']",6,Yes
74,10706719.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'dal', 'gram', 'pears', 'lime', 'goat', 'rabbit']",8,Yes
75,10714945.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'pears', 'calf', 'rabbit']",5,Yes
76,10720169.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'beans', 'rice', 'wheat', 'bean', 'gram', 'pears', 'meat', 'beef', 'pork']",10,Yes
77,10721903.pdf,"['protein', 'ash']",2,"['gram', 'corn', 'meat', 'beef']",4,Yes
78,10731500.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['butter', 'oil', 'cauliflower', 'beans', 'orange', 'peas', 'lettuce', 'egg', 'rice', 'wheat', 'bean', 'gram', 'corn', 'meat', 'tomato', 'fish', 'cabbage', 'milk', 'potato', 'milk', 'seafood', 'pepper', 'cheese', 'cauliflower', 'beef']",25,Yes
80,10746356.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'gram', 'pears', 'fish']",4,Yes
81,10752530.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['lime', 'tuna']",2,Yes
82,10755687.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'barley', 'wheat', 'corn', 'sugar', 'lime']",6,Yes
83,10770967.pdf,"['protein', 'ash', 'fat']",3,"['pears', 'moth']",2,Yes
84,10774830.pdf,['ash'],1,"['oil', 'egg', 'moth', 'milk', 'milk']",5,Yes
86,10799377.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['chicken', 'oil', 'flour', 'mint', 'beans', 'orange', 'peas', 'dal', 'egg', 'rice', 'wheat', 'bean', 'mushroom', 'gram', 'corn', 'radish', 'mint', 'potatoes', 'meat', 'almond', 'fish', 'seeds', 'milk', 'potato', 'milk', 'seafood', 'pepper', 'cheese', 'sugar', 'beef', 'pork']",31,Yes
